sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
16.9981,9000,0,0.0000
17.9981,9600,0,0.0000
18.9981,10200,0,0.0000
19.9981,10800,0,0.0000
20.9981,11400,0,0.0000
21.9981,12000,0,0.0000
22.9981,12600,0,0.0000
23.9981,13200,0,0.0000
24.9981,13800,0,0.0000
25.9981,14400,0,0.0000
26.9981,15000,0,0.0000
27.9981,15600,0,0.0000
28.9981,16200,0,0.0000
1.9981,0,0,0.0000
2.9981,900,0,0.0000
3.9981,1800,0,0.0000
4.9981,2700,0,0.0000
5.9981,3600,0,0.0000
6.9981,4500,0,0.0000
7.9981,5400,0,0.0000
8.9981,6300,0,0.0000
9.9981,7200,0,0.0000
10.9981,8100,0,0.0000
11.9981,9000,0,0.0000
12.9981,9900,0,0.0000
13.9981,10800,0,0.0000
14.9981,11700,0,0.0000
15.9981,12600,0,0.0000
16.9981,13500,0,0.0000
17.9981,14400,0,0.0000
18.9981,15300,0,0.0000
19.9981,16200,0,0.0000
20.9981,17100,0,0.0000
21.9981,18000,0,0.0000
22.9981,18900,0,0.0000
23.9981,19800,0,0.0000
24.9981,20700,0,0.0000
25.9981,21600,0,0.0000
26.9981,22500,0,0.0000
27.9981,23400,0,0.0000
28.9981,24300,0,0.0000
1.9981,0,0,0.0000
2.9981,1200,0,0.0000
3.9981,2400,0,0.0000
4.9981,3600,0,0.0000
5.9981,4800,0,0.0000
6.9981,6000,0,0.0000
7.9981,7200,0,0.0000
8.9981,8400,0,0.0000
9.9981,9600,0,0.0000
10.9981,10800,0,0.0000
11.9981,12000,0,0.0000
12.9981,13200,0,0.0000
13.9981,14400,0,0.0000
14.9981,15600,0,0.0000
15.9981,16800,0,0.0000
16.9981,18000,0,0.0000
17.9981,19200,0,0.0000
18.9981,20400,0,0.0000
19.9981,21600,0,0.0000
20.9981,22800,0,0.0000
21.9981,24000,0,0.0000
22.9981,25200,0,0.0000
23.9981,26400,0,0.0000
24.9981,27600,0,0.0000
25.9981,28800,0,0.0000
26.9981,30000,0,0.0000
27.9981,31200,0,0.0000
28.9981,32400,0,0.0000
1.9981,0,0,0.0000
2.9981,1500,0,0.0000
3.9981,3000,0,0.0000
4.9981,4500,0,0.0000
5.9981,6000,0,0.0000
6.9981,7500,0,0.0000
7.9981,9000,0,0.0000
8.9981,10500,0,0.0000
9.9981,12000,0,0.0000
10.9981,13500,0,0.0000
11.9981,15000,0,0.0000
12.9981,16500,0,0.0000
13.9981,18000,0,0.0000
14.9981,19500,0,0.0000
15.9981,21000,0,0.0000
16.9981,22500,0,0.0000
17.9981,24000,0,0.0000
18.9981,25500,0,0.0000
19.9981,27000,0,0.0000
20.9981,28500,0,0.0000
21.9981,30000,0,0.0000
22.9981,31500,0,0.0000
23.9981,33000,0,0.0000
24.9981,34500,0,0.0000
25.9981,36000,0,0.0000
26.9981,37500,0,0.0000
27.9981,39000,0,0.0000
28.9981,40500,0,0.0000
1.9981,0,0,0.0000
2.9981,1800,0,0.0000
3.9981,3600,0,0.0000
4.9981,5400,0,0.0000
5.9981,7200,0,0.0000
6.9981,9000,0,0.0000
7.9981,10800,0,0.0000
8.9981,12600,0,0.0000
9.9981,14400,0,0.0000
10.9981,16200,0,0.0000
11.9981,18000,0,0.0000
12.9981,19800,0,0.0000
13.9981,21600,0,0.0000
14.9981,23400,0,0.0000
15.9981,25200,0,0.0000
16.9981,27000,0,0.0000
17.9981,28800,0,0.0000
18.9981,30600,0,0.0000
19.9981,32400,0,0.0000
20.9981,34200,0,0.0000
21.9981,36000,0,0.0000
22.9981,37800,0,0.0000
23.9981,39600,0,0.0000
24.9981,41400,0,0.0000
25.9981,43200,0,0.0000
26.9981,45000,0,0.0000
