# EDCF-Shield HMAC log  scenario=v1b
t,sender,receiver,pkt_type,hmac_valid,attack_detected
1.0000,C0,C1,C2C,YES,LEGIT
1.0000,C0,C2,C2C,YES,LEGIT
1.0000,C1,C0,C2C,YES,LEGIT
1.0000,C1,C2,C2C,YES,LEGIT
1.0000,C2,C0,C2C,YES,LEGIT
1.0000,C2,C1,C2C,YES,LEGIT
1.0001,V0,C0,BEACON,YES,LEGIT
1.0001,V1,C0,BEACON,YES,LEGIT
1.0001,V2,C1,BEACON,YES,LEGIT
1.0001,V3,C2,BEACON,YES,LEGIT
1.0001,V4,C2,BEACON,YES,LEGIT
1.0001,C0,V0,FLOWMOD,YES,LEGIT
1.0001,C0,V1,FLOWMOD,YES,LEGIT
1.0001,C1,V2,FLOWMOD,YES,LEGIT
1.0001,C2,V3,FLOWMOD,YES,LEGIT
1.0001,C2,V4,FLOWMOD,YES,LEGIT
1.5001,V0,C0,BEACON,YES,LEGIT
1.5001,V1,C0,BEACON,YES,LEGIT
1.5001,V2,C1,BEACON,YES,LEGIT
1.5001,V3,C2,BEACON,YES,LEGIT
1.5001,V4,C2,BEACON,YES,LEGIT
1.8501,C0,V0,FLOWMOD,YES,LEGIT
1.8501,C0,V1,FLOWMOD,YES,LEGIT
1.8501,C2,V3,FLOWMOD,YES,LEGIT
1.8501,C2,V4,FLOWMOD,YES,LEGIT
2.3001,C1,V2,WRONG_FM,YES,CHECK
2.4801,C1,V2,WRONG_FM,YES,CHECK
2.6601,C1,V2,WRONG_FM,YES,CHECK
2.8401,C1,V2,WRONG_FM,YES,CHECK
3.0201,C1,V2,WRONG_FM,YES,CHECK
3.2001,C1,V2,WRONG_FM,YES,CHECK
3.4000,C1,C0,C2C,YES,LEGIT
3.4000,C1,C2,C2C,YES,LEGIT
3.9001,C0,V0,WRONG_FM,YES,CHECK
3.9001,C0,V1,WRONG_FM,YES,CHECK
3.9001,C2,V3,WRONG_FM,YES,CHECK
3.9001,C2,V4,WRONG_FM,YES,CHECK
5.0000,C0,C1,C2C,YES,LEGIT
5.0000,C0,C2,C2C,YES,LEGIT
5.0000,C1,C0,C2C,YES,LEGIT
5.0000,C1,C2,C2C,YES,LEGIT
5.0000,C2,C0,C2C,YES,LEGIT
5.0000,C2,C1,C2C,YES,LEGIT
5.0001,V0,C0,BEACON,YES,LEGIT
5.0001,V1,C0,BEACON,YES,LEGIT
5.0001,V2,C1,BEACON,YES,LEGIT
5.0001,V3,C2,BEACON,YES,LEGIT
5.0001,V4,C2,BEACON,YES,LEGIT
5.0001,C0,V0,FLOWMOD,YES,LEGIT
5.0001,C0,V1,FLOWMOD,YES,LEGIT
5.0001,C1,V2,FLOWMOD,YES,LEGIT
5.0001,C2,V3,FLOWMOD,YES,LEGIT
5.0001,C2,V4,FLOWMOD,YES,LEGIT
5.5001,V0,C0,BEACON,YES,LEGIT
5.5001,V1,C0,BEACON,YES,LEGIT
5.5001,V2,C1,BEACON,YES,LEGIT
5.5001,V3,C2,BEACON,YES,LEGIT
5.5001,V4,C2,BEACON,YES,LEGIT
5.8501,C0,V0,FLOWMOD,YES,LEGIT
5.8501,C0,V1,FLOWMOD,YES,LEGIT
5.8501,C2,V3,FLOWMOD,YES,LEGIT
5.8501,C2,V4,FLOWMOD,YES,LEGIT
6.3001,C1,V2,WRONG_FM,YES,CHECK
6.4801,C1,V2,WRONG_FM,YES,CHECK
6.6601,C1,V2,WRONG_FM,YES,CHECK
6.8401,C1,V2,WRONG_FM,YES,CHECK
7.0201,C1,V2,WRONG_FM,YES,CHECK
7.2001,C1,V2,WRONG_FM,YES,CHECK
7.4000,C1,C0,C2C,YES,LEGIT
7.4000,C1,C2,C2C,YES,LEGIT
7.9001,C0,V0,WRONG_FM,YES,CHECK
7.9001,C0,V1,WRONG_FM,YES,CHECK
7.9001,C2,V3,WRONG_FM,YES,CHECK
7.9001,C2,V4,WRONG_FM,YES,CHECK
9.0000,C0,C1,C2C,YES,LEGIT
9.0000,C0,C2,C2C,YES,LEGIT
9.0000,C1,C0,C2C,YES,LEGIT
9.0000,C1,C2,C2C,YES,LEGIT
9.0000,C2,C0,C2C,YES,LEGIT
9.0000,C2,C1,C2C,YES,LEGIT
9.0001,V0,C0,BEACON,YES,LEGIT
9.0001,V1,C0,BEACON,YES,LEGIT
9.0001,V2,C1,BEACON,YES,LEGIT
9.0001,V3,C2,BEACON,YES,LEGIT
9.0001,V4,C2,BEACON,YES,LEGIT
9.0001,C0,V0,FLOWMOD,YES,LEGIT
9.0001,C0,V1,FLOWMOD,YES,LEGIT
9.0001,C1,V2,FLOWMOD,YES,LEGIT
9.0001,C2,V3,FLOWMOD,YES,LEGIT
9.0001,C2,V4,FLOWMOD,YES,LEGIT
9.5001,V0,C0,BEACON,YES,LEGIT
9.5001,V1,C0,BEACON,YES,LEGIT
9.5001,V2,C1,BEACON,YES,LEGIT
9.5001,V3,C2,BEACON,YES,LEGIT
9.5001,V4,C2,BEACON,YES,LEGIT
9.8501,C0,V0,FLOWMOD,YES,LEGIT
9.8501,C0,V1,FLOWMOD,YES,LEGIT
9.8501,C2,V3,FLOWMOD,YES,LEGIT
9.8501,C2,V4,FLOWMOD,YES,LEGIT
