# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V2,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V2,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,2,CYCLE,4.0,1700,80,0,6,0.996641,0.731394,0.998238,1.000000,0.996483,93.02,72.73,34.08,0.083074,0.939323,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V2,1,0.794578,4315.000000,1.928571,0.000000,2,0.205422,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3400,80,0,6,0.998279,0.963636,0.999118,1.000000,0.998238,93.02,83.57,20.54,0.083074,0.939323,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V2,1,0.794578,4315.000000,1.928571,0.000000,2,0.205422,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,3,CYCLE,6.0,1700,66,0,20,0.988802,0.777906,0.994152,1.000000,0.988372,76.74,73.93,32.59,0.078706,0.937236,1.000000,1211.225,0.000,0.000,76,1448,0.963636,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V2,1,0.749890,5596.666667,1.928571,0.000000,2,0.250110,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,5100,146,0,26,0.995068,0.918984,0.997457,1.000000,0.994928,84.88,79.99,25.01,0.078706,0.937236,1.000000,1211.225,0.000,0.000,76,1448,0.963636,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V2,1,0.749890,5596.666667,1.928571,0.000000,2,0.250110,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,4,CYCLE,8.0,1700,66,0,20,0.988802,0.801162,0.994152,1.000000,0.988372,76.74,73.73,32.83,0.076923,0.936740,1.000000,1211.225,0.000,0.000,76,1448,0.941310,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V2,1,0.728676,6260.000000,1.928571,0.000000,2,0.271324,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6800,212,0,46,0.993483,0.903429,0.996629,1.000000,0.993281,82.17,78.29,27.13,0.076923,0.936740,1.000000,1211.225,0.000,0.000,76,1448,0.941310,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V2,1,0.728676,6260.000000,1.928571,0.000000,2,0.271324,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,5,CYCLE,10.0,1700,85,0,0,1.000000,0.840929,1.000000,1.000000,1.000000,100.00,74.49,31.89,0.081549,0.936459,1.000000,1319.970,0.000,0.000,76,1448,0.928683,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V2,1,0.718634,6590.000000,1.923767,0.000000,2,0.281366,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8500,297,0,46,0.994798,0.928024,0.997301,1.000000,0.994617,86.59,77.49,28.14,0.081549,0.936459,1.000000,1319.970,0.000,0.000,76,1448,0.928683,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V2,1,0.718634,6590.000000,1.923767,0.000000,2,0.281366,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,6,CYCLE,12.0,1700,0,0,0,1.000000,0.784108,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.081549,0.936459,1.000000,1319.970,0.000,0.000,76,1448,0.928518,1.000000,0.4167,2.0000,0.0000,0.0000,0.0000,V2,0,0.753992,5475.000000,1.923767,0.000000,2,0.246008,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,6,CUMULATIVE,12.0,10200,297,0,46,0.995637,0.928440,0.997750,1.000000,0.995510,86.59,80.32,24.60,0.081549,0.936459,1.000000,1319.970,0.000,0.000,76,1448,0.928518,1.000000,0.4167,2.0000,0.0000,0.0000,0.0000,V2,1,0.753992,5475.000000,1.923767,0.000000,2,0.246008,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,7,CYCLE,14.0,1700,66,0,20,0.988802,0.796511,0.994152,1.000000,0.988372,76.74,74.40,32.00,0.080452,0.935821,1.000000,1351.763,0.000,0.000,76,1448,0.928503,1.000000,0.4286,2.0000,0.0000,0.0000,0.0000,V2,1,0.742451,5827.142857,1.924731,0.000000,2,0.257549,0.150000,1.000000,0.000000,200
EDCF-Shield,v2a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,7,CUMULATIVE,14.0,11900,363,0,66,0.994647,0.917326,0.997235,1.000000,0.994484,84.62,79.40,25.75,0.080452,0.935821,1.000000,1351.763,0.000,0.000,76,1448,0.928503,1.000000,0.4286,2.0000,0.0000,0.0000,0.0000,V2,1,0.742451,5827.142857,1.924731,0.000000,2,0.257549,0.150000,1.000000,0.000000,200
